customer,cluster,cluster_label,cluster_profile
7945,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7946,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7947,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7948,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7949,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7950,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7951,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7952,1,New Parents,"Baby%, Drinks%, Home%"
7953,1,New Parents,"Baby%, Drinks%, Home%"
7954,1,New Parents,"Baby%, Drinks%, Home%"
7955,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7956,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7957,1,New Parents,"Baby%, Drinks%, Home%"
7958,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7959,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7960,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7961,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7962,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7963,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7964,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7966,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7967,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7968,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7969,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7970,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7971,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7972,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7973,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7974,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7975,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7976,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7977,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7978,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7979,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7980,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7981,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7982,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7983,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7984,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7985,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7986,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7987,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7989,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7990,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7991,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7992,1,New Parents,"Baby%, Drinks%, Home%"
7993,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7994,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7995,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7996,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7997,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7998,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7999,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8000,1,New Parents,"Baby%, Drinks%, Home%"
8001,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8002,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
