customer,cluster,cluster_label
2527,3,Drinks & Fresh Regulars & Food
2528,1,New Parents & Drinks & Home Decorators
2529,2,Food & Drinks & Home Decorators
2530,2,Food & Drinks & Home Decorators
2531,2,Food & Drinks & Home Decorators
2532,2,Food & Drinks & Home Decorators
2533,2,Food & Drinks & Home Decorators
2534,2,Food & Drinks & Home Decorators
2535,2,Food & Drinks & Home Decorators
2536,2,Food & Drinks & Home Decorators
2537,2,Food & Drinks & Home Decorators
2538,2,Food & Drinks & Home Decorators
2539,3,Drinks & Fresh Regulars & Food
2540,2,Food & Drinks & Home Decorators
2541,0,Home Decorators & Drinks & Food
2542,1,New Parents & Drinks & Home Decorators
2543,2,Food & Drinks & Home Decorators
2544,2,Food & Drinks & Home Decorators
2545,2,Food & Drinks & Home Decorators
2546,2,Food & Drinks & Home Decorators
2547,2,Food & Drinks & Home Decorators
2548,0,Home Decorators & Drinks & Food
2549,3,Drinks & Fresh Regulars & Food
2550,2,Food & Drinks & Home Decorators
2551,2,Food & Drinks & Home Decorators
2552,2,Food & Drinks & Home Decorators
2553,1,New Parents & Drinks & Home Decorators
2554,2,Food & Drinks & Home Decorators
2556,1,New Parents & Drinks & Home Decorators
2557,2,Food & Drinks & Home Decorators
2558,2,Food & Drinks & Home Decorators
2559,2,Food & Drinks & Home Decorators
2560,1,New Parents & Drinks & Home Decorators
2561,2,Food & Drinks & Home Decorators
2562,2,Food & Drinks & Home Decorators
2563,2,Food & Drinks & Home Decorators
2564,2,Food & Drinks & Home Decorators
2565,0,Home Decorators & Drinks & Food
2566,3,Drinks & Fresh Regulars & Food
2567,3,Drinks & Fresh Regulars & Food
2568,2,Food & Drinks & Home Decorators
2569,3,Drinks & Fresh Regulars & Food
2570,0,Home Decorators & Drinks & Food
2571,2,Food & Drinks & Home Decorators
2572,2,Food & Drinks & Home Decorators
2573,1,New Parents & Drinks & Home Decorators
2574,2,Food & Drinks & Home Decorators
2576,2,Food & Drinks & Home Decorators
2577,2,Food & Drinks & Home Decorators
2578,2,Food & Drinks & Home Decorators
2579,3,Drinks & Fresh Regulars & Food
2580,2,Food & Drinks & Home Decorators
2581,0,Home Decorators & Drinks & Food
2582,2,Food & Drinks & Home Decorators
2583,1,New Parents & Drinks & Home Decorators
2584,2,Food & Drinks & Home Decorators
2585,2,Food & Drinks & Home Decorators
2586,1,New Parents & Drinks & Home Decorators
2587,2,Food & Drinks & Home Decorators
2588,2,Food & Drinks & Home Decorators
2589,2,Food & Drinks & Home Decorators
2590,0,Home Decorators & Drinks & Food
2591,3,Drinks & Fresh Regulars & Food
2592,1,New Parents & Drinks & Home Decorators
2593,0,Home Decorators & Drinks & Food
